Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Date_local,event_date,material_or_label,ticker,stock_return_1d,stock_vol_20d,fwd_cum_return
2021-01-04 05:00:00+00:00,143.3875151,147.0073707,140.9398924,143.1343231,2898700,0,0,2021-01-04 00:00:00-05:00,2021-01-04,리튬,ALB,,,0.085865105
2021-01-05 05:00:00+00:00,143.171807,156.4039699,143.171807,152.7934875,2628000,0,0,2021-01-05 00:00:00-05:00,2021-01-05,리튬,ALB,0.067483216,,0.001598765
2021-01-06 05:00:00+00:00,155.2036216,167.4792399,155.2036216,164.2063751,3335500,0,0,2021-01-06 00:00:00-05:00,2021-01-06,리튬,ALB,0.074694856,,-0.082337209
2021-01-07 05:00:00+00:00,172.0650053,175.6004632,169.3172986,172.5526581,2947800,0,0,2021-01-07 00:00:00-05:00,2021-01-07,리튬,ALB,0.050828008,,-0.096306289
2021-01-08 05:00:00+00:00,173.0121746,175.3003609,167.5448796,172.6464386,1659400,0,0,2021-01-08 00:00:00-05:00,2021-01-08,리튬,ALB,0.000543489,,-0.082519955
2021-01-11 05:00:00+00:00,167.6761214,168.8014616,162.6308287,166.2600555,2940000,0,0,2021-01-11 00:00:00-05:00,2021-01-11,리튬,ALB,-0.036991108,,-0.088383333
2021-01-12 05:00:00+00:00,166.2600788,171.7461328,165.5192341,171.1459503,1655200,0,0,2021-01-12 00:00:00-05:00,2021-01-12,리튬,ALB,0.029387063,,-0.059304319
2021-01-13 05:00:00+00:00,171.5211005,171.6055121,166.9353263,168.7265015,1481400,0,0,2021-01-13 00:00:00-05:00,2021-01-13,리튬,ALB,-0.014136758,,-0.112353848
2021-01-14 05:00:00+00:00,169.2703924,172.6370411,169.2703924,171.0240479,1037800,0,0,2021-01-14 00:00:00-05:00,2021-01-14,리튬,ALB,0.013616986,,-0.140113507
2021-01-15 05:00:00+00:00,168.801526,172.346357,166.6821343,168.9328156,1196600,0,0,2021-01-15 00:00:00-05:00,2021-01-15,리튬,ALB,-0.012227709,,-0.151579041
2021-01-19 05:00:00+00:00,169.7393078,174.0812626,167.2916852,173.7248993,1520700,0,0,2021-01-19 00:00:00-05:00,2021-01-19,리튬,ALB,0.028366802,,-0.10339073
2021-01-20 05:00:00+00:00,175.8442619,176.6320131,168.2200709,168.9796753,1404400,0,0,2021-01-20 00:00:00-05:00,2021-01-20,리튬,ALB,-0.027314588,,-0.100447918
2021-01-21 05:00:00+00:00,170.208157,170.6676772,163.5686304,165.4348297,1321300,0,0,2021-01-21 00:00:00-05:00,2021-01-21,리튬,ALB,-0.020977941,,-0.101663479
2021-01-22 05:00:00+00:00,162.4620258,163.990607,160.5208022,162.9027863,2034500,0,0,2021-01-22 00:00:00-05:00,2021-01-22,리튬,ALB,-0.015305383,,-0.096484116
2021-01-25 05:00:00+00:00,163.1747827,168.3326063,161.3742351,165.9131165,1372300,0,0,2021-01-25 00:00:00-05:00,2021-01-25,리튬,ALB,0.018479305,,-0.061238001
2021-01-26 05:00:00+00:00,166.7571026,167.7042612,161.8899913,164.4689026,1406100,0,0,2021-01-26 00:00:00-05:00,2021-01-26,리튬,ALB,-0.00870464,,-0.03938401
2021-01-27 05:00:00+00:00,159.667421,159.9862791,151.3211323,158.3451538,2907700,0,0,2021-01-27 00:00:00-05:00,2021-01-27,리튬,ALB,-0.037233475,,-0.053495322
2021-01-28 05:00:00+00:00,160.0050925,160.5021181,153.684422,156.0195007,1706500,0,0,2021-01-28 00:00:00-05:00,2021-01-28,리튬,ALB,-0.014687239,,-0.130333064
2021-01-29 05:00:00+00:00,154.8097237,158.9172312,150.4396373,152.5402832,3133400,0,0,2021-01-29 00:00:00-05:00,2021-01-29,리튬,ALB,-0.022299889,,-0.061309193
2021-02-01 05:00:00+00:00,155.4662103,157.4543126,153.149877,156.0195007,1233900,0,0,2021-02-01 00:00:00-05:00,2021-02-01,리튬,ALB,0.022808516,,-0.075391277
